,customer_id,recommendations,ground_truth
0,00000dbacae5abe5e23885899a1fa44253a17956c6d1c3d25f88aa139fdfc657,663276001 693242018 678942047 663521001 781734001 832817003 839187002 743979001,656719005 785186005 568601006 607642008 625548001 568601043 627759010 785710001
1,0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,767325001 652221002 687424003 738569006 685170001 699680001 733084002 813538002,749699013 811835004 521269001 640174001 611584007 800436010 740943002 559630026
2,000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,693242018 687036009 802153004 926340001 628331023 777143003 674913001 704299003,852643003 851400006 858883002 541518023 578020002 870304002 351484002 663713001
3,00005ca1c9ed5f5146b52ac8639a40ca9d57aeff4d1bd2c5feb1ca5dff07c43e,910949002,742079001
4,00006413d8573cd20ed7128e53b7b13819fe5cfc2d801fe7fc0f26dd8d65a85a,500133022 562498002 862067001 708492004 873580001 814763004 761575001 705518004,896152002 698286003 589440005 927530004 707704003 818320001 399061015 730683050
5,000064249685c11552da43ef22a5030f35a147f723d5b02ddd9fd22452b1f5a6,810156001 656649010,738133005 740962001
6,0000757967448a6cb83efb3ea7a3fb9d418ac7adf2379d8cd0c725276a467a2a,816737002 573085043 626263008 900169001,719530003 783388001 735843004 726925001
7,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,762637001 738569006 699680001 893198001 650274003 763941001 699417001 757978001,665654001 685687004 444325004 570309005 644073002 160442010 784278001 351933001
8,00007e8d4e54114b5b2a9b51586325a8d0fa74ea23ef77334eaec4ffccd7ebcc,834924004,850614001
9,00008469a21b50b3d147c97135e25b4201a8c58997f78782a0cc706645e14493,634825002 894758001 622149010,673677001 551080020 673677004
10,0000945f66de1a11d9447609b8b41b1bc987ba185a5496ae8831e8493afa24ff,865452002 693574017,770321002 760084003
11,000097d91384a0c14893c09ed047a963c4fc6a5c021044eec603b323e8c82d1d,755612001 763162002 697214003 559139009 737448001 796391001 873794002 505507017,565200030 453239043 523479004 485552003 308154005 643215002 400456001 636475003
12,00009c2aeae8761f738e4f937d9be6b49861a66339c2b1c3b1cc6e322729a370,708359010 905894003 772815001,568632003 841793002 857690004
13,00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,926745002 399256032 734932002 657481001 715516004 652138001 796374001 686265005,921226001 684021068 751273006 730863005 884319008 903428001 832307003 859247002
14,0000ae1bbb25e04bdc7e35f718e852adfb3fbb72ef38b3fa01ce4272a6326730,562245061,573085033
15,0000b2f1829e23b24feec422ef13df3ccedaedc85368e6664d04ca30b2f8daff,851010001 658487003 694046001 811835005 833499006 854679003 692930001 571177004,713019009 579302001 704756002 706016038 837686001 778476005 715411001 706016015
16,0000b7a134c3ec0d8842fad1fd4ca28517424c14fc48485d65bd332309b7439a,753724006,651300005
17,0000c97821eb48d0e590fd309133f0a6c08f7750f64cccf2ba053e11119093c2,813538002 702107002 717695002 825367002 738569006 652221002 695040001 670674007,840360002 592607002 652142002 817166003 618655006 702802003 564334002 651456015
18,0000d6c053fc8f9389d4565051f12402d5774aa4a9d2e5c2d5cd5f5f3c9a4488,773980001 589001002 485551009 604076002 818234001,758060002 758064002 566140001 714824001 731608002
