,customer_id,recommendations,ground_truth
0,00000dbacae5abe5e23885899a1fa44253a17956c6d1c3d25f88aa139fdfc657,843246002 787884003 458924001 610602001 747545001 633345004 575493001 684435001,568601043 841260003 812683013 859416011 785710001 568601006 694736004 176209023
1,0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,666116002 859236009 818605004 829618006 566140025 717695002 854384003 711193003,759871002 599580083 800436010 757974002 723529001 599580055 837368001 724904002
2,000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,786304001 772572002 874356001 821648004 813595005 628979002 748401001 685813016,663713001 750424014 723529001 663713001 870304002 858883002 351484002 794321007
3,00005ca1c9ed5f5146b52ac8639a40ca9d57aeff4d1bd2c5feb1ca5dff07c43e,910949002,742079001
4,00006413d8573cd20ed7128e53b7b13819fe5cfc2d801fe7fc0f26dd8d65a85a,796870001 572797049 869870001 863937010 587137008 690623002 572797035 669215001,927530004 707704003 896152002 677049001 589440005 698286003 730683050 827971001
5,000064249685c11552da43ef22a5030f35a147f723d5b02ddd9fd22452b1f5a6,868213001 738133002,740962001 680265002
6,0000757967448a6cb83efb3ea7a3fb9d418ac7adf2379d8cd0c725276a467a2a,719530003 775414001 764919003 673349002,715624008 726925001 448509014 783388001
7,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,870449001 897270003 882454002 736531009 832507001 717695002 737222004 566140025,721257001 703656001 686406001 552570004 752945001 614622018 605106001 629801001
8,00007e8d4e54114b5b2a9b51586325a8d0fa74ea23ef77334eaec4ffccd7ebcc,681373019,819423001
9,00008469a21b50b3d147c97135e25b4201a8c58997f78782a0cc706645e14493,673677024 673677011 673677003,648414023 673677004 551080020
10,0000945f66de1a11d9447609b8b41b1bc987ba185a5496ae8831e8493afa24ff,760084002 865452002,770321002 760084003
11,000097d91384a0c14893c09ed047a963c4fc6a5c021044eec603b323e8c82d1d,742177016 696991040 804936006 818707005 871988007 681097003 659114002 870927002,624121005 644007001 565200013 548110004 523479004 565200030 453239043 643215002
12,00009c2aeae8761f738e4f937d9be6b49861a66339c2b1c3b1cc6e322729a370,568632003 621972002 667357002,857690004 841793002 841793002
