,customer_id,recommendations,ground_truth
0,00000dbacae5abe5e23885899a1fa44253a17956c6d1c3d25f88aa139fdfc657,708138004 858284001 708138025 708138011 708138024 708138027 708138026 708138009,797065001 625548001 785186005 890498002 568601043 745232001 841260003 812683013
1,0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,559607003 559607009 559607002 458543004 458543009 458543007 458543005 458543001,698276006 599580083 739590027 724904001 640021005 658298001 745006005 583558001
2,000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,845576001 661610001 845931001 762742001 708101003 708101001 662075005 662075004,663713001 351484002 750424014 870304002 852643003 727808007 578020002 727808001
3,00005ca1c9ed5f5146b52ac8639a40ca9d57aeff4d1bd2c5feb1ca5dff07c43e,742079001,732413001
4,00006413d8573cd20ed7128e53b7b13819fe5cfc2d801fe7fc0f26dd8d65a85a,662075004 662075001 565963001 691102001 887201001 708138026 708138002 708138025,707704003 927530004 730683050 896152002 589440005 677049001 399061015 827971001
5,000064249685c11552da43ef22a5030f35a147f723d5b02ddd9fd22452b1f5a6,831568001 832665001,738133005 680265002
6,0000757967448a6cb83efb3ea7a3fb9d418ac7adf2379d8cd0c725276a467a2a,801765001 601465006 601465004 862482002,448509014 783388001 735843004 715624008
7,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,736584002 693459001 817401001 817401003 817401005 817401007 849144001 817401004,619580008 609598012 671502001 703843001 784278001 567618001 660108001 649018001
8,00007e8d4e54114b5b2a9b51586325a8d0fa74ea23ef77334eaec4ffccd7ebcc,819423001,850614001
9,00008469a21b50b3d147c97135e25b4201a8c58997f78782a0cc706645e14493,648414022 648414024 648414023,551080020 673677004 673677001
10,0000945f66de1a11d9447609b8b41b1bc987ba185a5496ae8831e8493afa24ff,770321002 692499001,760084003 760084013
11,000097d91384a0c14893c09ed047a963c4fc6a5c021044eec603b323e8c82d1d,523479006 523479014 523479004 523479009 523479005 523479003 523479018 523479017,636475003 565200030 453239043 624690002 565200029 548110004 644007001 643215002
12,00009c2aeae8761f738e4f937d9be6b49861a66339c2b1c3b1cc6e322729a370,766272001 766272002 708673004,841793002 841793002 857690004
13,00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,606757001 753112002 753112006 753112001 753112007 753112005 719128001 719128004,661794006 699755039 832307003 673900013 699755007 634013022 673900014 695324013
14,0000ae1bbb25e04bdc7e35f718e852adfb3fbb72ef38b3fa01ce4272a6326730,573085030,573085033
15,0000b2f1829e23b24feec422ef13df3ccedaedc85368e6664d04ca30b2f8daff,617725002 617725001 617725015 617725018 617725004 708404001 708404002 786814001,776382001 914441005 807241026 839402001 807244012 751471001 722439001 714828001
16,0000b7a134c3ec0d8842fad1fd4ca28517424c14fc48485d65bd332309b7439a,651300002,745477001
17,0000c97821eb48d0e590fd309133f0a6c08f7750f64cccf2ba053e11119093c2,785018003 785018013 785018010 785018014 785018008 785018004 785018005 785018009,840360002 618655006 864615001 651456015 785018002 594987017 617284001 605777010
18,0000d6c053fc8f9389d4565051f12402d5774aa4a9d2e5c2d5cd5f5f3c9a4488,633966004 677077001 625939011 625939013 625939005,610216001 714824001 758060002 773980001 758064002
19,0000e9a4db2da4e9c68558ad1e7df570d02767b213ec6bcb10283ab05ee53015,810005001 810005002 640116001 674649001 674649003,717995001 598755001 880553001 578630003 542533015
20,0000f1c71aafe5963c3d195cf273f7bfd50bbf17761c9199e53dbb81641becd7,550445004 550445003 826209002 826209001 826209005 826209006 617725002 617725004,730024001 917434002 760084002 799017001 572938001 720100001 902325002 793856005
21,0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,699240005 699240001 860258002 860258001 508206001 783830001 694321002 694321001,751285001 713754001 662728004 764230002 745475002 858640004 562245059 720620003
22,0000ffa57a8098a6cd99c0f0782b3e674f47d68db69dc173c7e67e0f68170c4c,215589002 367372001,817574001 555353017
23,0001076e215991bad544dd3e7312f78d9f576a1cc3ddc407b2bc9024794ead5f,582762001 522139001 717060001 814686003 575466001 575466003 814686001 814686004,664917002 658298001 659920003 854356006 715624001 841173002 673144002 640314002
24,000114c6996ef5703a8d455faf2103f8488d3928348e0739c92ff9e8897932db,871274002 412964016 412964023 617725017 617725002 617725018 617725004 617725015,562245018 825107004 733441003 716654003 726516004 817150005 573716050 696176001
25,0001177027259b455f979d85a278e4b280205d4de5cce4bb83ccbb8d5dbb4b92,536139070 536139060 536139009 536139028 536139068 536139038 536139039 536139048,811715001 851450001 810170001 570002090 810172003 869232001 820462009 863456003
26,00012315fd38859ff2c446876ca507abbcbcf582d0e266b1b696941c16e777a2,842607002 842607003,842607004 690936001
27,0001420326c217a367048472e05395373c40a039f6fd45cd9e4b3a818d02886a,788470002 617249041 617249009 617249035 617249043 617249016 617249011 617249007,566941002 523936006 651242003 396135041 566941001 638114001 845729001 566940004
28,00015c1a121e08bbd2552c15fbbb6e6b19d3bf8f7b6a3d60c6d7be26f06264d6,708138021 708138025 708138011 708138002 708138026 858284003 708138004 708138023,189634001 731160005 158340001 759871002 679854001 679854001 408875002 680391002
29,000172a9c322560c849754ffbdfdb2180d408aa7176b943f957804686be8e1f0,904095002 904095001 566728002 567477002 748998004 631885002 903516002 903516001,705732003 554811021 661794002 556528009 760633002 685814001 685814001 705732002
30,00018385675844f7a6babbed41b5655b5727fb16483b6ea51d5798a6ab947344,747216003 747216004 747216001 626813003 626813005 626813006,535455002 667916002 621020001 651273003 763322001 616849012
31,00018b5c38bf693c01e689d15674327ed582467d50593e8436ee3f31e0c7dfdf,846356002 626393002 810460001 750962001 576097001,773075002 832520001 522398056 773075004 707743006
32,000197360fe727d2cc0887073db9062bf37a8949a95c4a63db58661d94d2cb06,815026001,815026002
